LOKAALID	NAAM	BRONACTUAL	BRONBESCHR	BRONNAUWKE	BRONTYPE	BRONTYPE_C	EINDREGIST	FYSIEKVOOR	FYSIEKVO_1	HOOGTENIVE	MUTATIETYP	MUTATIET_1	OBJECTBEGI	OBJECTEIND	TDNCODE	TIJDSTIPRE	TYPELANDGE	TYPELAND_1	VISUALISAT	VOORKOMEN_	VOORKOMEN1	GEOMETRIE_	GEOMETRIE1
127811103	NULL	01/01/14	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	08/31/14	11/30/99	526.0	08/30/15	overig	historic 1992	14160.0	NULL	NULL	637.941139	11132.919122
106092343	NULL	01/01/14	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	526.0	08/30/15	overig	historic 1992	14160.0	NULL	NULL	309.558914	4946.383047
106102523	NULL	01/01/08	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	400.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	526.0	07/02/10	overig	historic 1992	14160.0	NULL	NULL	210.906415	1728.936922
106094762	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	523.0	08/30/15	boomkwekerij	historic 1992	14050.0	NULL	NULL	554.974076	9235.559083
106096072	NULL	01/01/03	Digitaal bestand met gecodeerde vectoren. Deze geven tezamen de topografie van Nederland weer op de schaal 1:10.000. Voorloper van TOP10NL.	2000.0	TOP10vector	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	526.0	08/31/14	overig	historic 1992	14160.0	NULL	NULL	212.582435	1753.844319
106094173	NULL	01/01/11	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	526.0	08/31/12	overig	historic 1992	14160.0	NULL	NULL	437.64871	3738.284859
124736657	NULL	01/01/11	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	08/31/12	11/30/99	526.0	08/31/12	overig	historic 1992	14160.0	NULL	NULL	108.698817	711.524491
106094303	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	521.0	08/31/14	grasland	historic 1992	14130.0	NULL	NULL	931.917389	10205.149904
124736337	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	08/31/12	11/30/99	523.0	08/31/14	boomkwekerij	historic 1992	14050.0	NULL	NULL	142.815983	1114.982764
106095655	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	523.0	08/31/14	boomkwekerij	historic 1992	14050.0	NULL	NULL	805.371958	11214.813928
106096369	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	523.0	08/31/14	boomkwekerij	historic 1992	14050.0	NULL	NULL	531.024685	4588.217398
127811353	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	08/31/14	11/30/99	521.0	08/31/14	grasland	historic 1992	14130.0	NULL	NULL	305.854176	2883.517826
106097087	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	526.0	08/31/14	overig	historic 1992	14160.0	NULL	NULL	179.267749	1793.019164
106092132	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	521.0	08/31/14	grasland	historic 1992	14130.0	NULL	NULL	431.627071	4045.110197
106098785	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	526.0	08/30/15	overig	historic 1992	14160.0	NULL	NULL	585.133236	7640.977776
106102464	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	523.0	08/31/14	boomkwekerij	historic 1992	14050.0	NULL	NULL	515.155564	5432.781901
127811684	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	08/31/14	11/30/99	521.0	08/31/14	grasland	historic 1992	14130.0	NULL	NULL	127.871637	1033.75335
106100148	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	523.0	08/31/14	boomkwekerij	historic 1992	14050.0	NULL	NULL	636.96433	6363.472048
106101297	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	526.0	08/31/14	overig	historic 1992	14160.0	NULL	NULL	220.578455	1853.268051
106094838	NULL	01/01/14	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	521.0	08/30/15	grasland	historic 1992	14130.0	NULL	NULL	222.982758	2501.214656
128776431	NULL	01/01/14	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	08/30/15	11/30/99	523.0	08/30/15	boomkwekerij	historic 1992	14050.0	NULL	NULL	191.381946	1489.489663
106092936	NULL	01/01/14	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	523.0	08/30/15	boomkwekerij	historic 1992	14050.0	NULL	NULL	974.76074	5569.706175
106101434	NULL	01/01/14	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	526.0	08/30/15	overig	historic 1992	14160.0	NULL	NULL	608.142667	8785.937468
124736670	NULL	01/01/11	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	08/31/12	11/30/99	521.0	08/31/14	grasland	historic 1992	14130.0	NULL	NULL	92.437096	432.131774
127811709	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	08/31/14	11/30/99	523.0	08/31/14	boomkwekerij	historic 1992	14050.0	abandoned crisis	NULL	113.551589	788.440993
106094320	NULL	01/01/03	Digitaal bestand met gecodeerde vectoren. Deze geven tezamen de topografie van Nederland weer op de schaal 1:10.000. Voorloper van TOP10NL.	2000.0	TOP10vector	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	523.0	11/24/08	boomkwekerij	historic 1992	14050.0	NULL	NULL	376.305399	3331.335445
106094168	NULL	01/01/03	Digitaal bestand met gecodeerde vectoren. Deze geven tezamen de topografie van Nederland weer op de schaal 1:10.000. Voorloper van TOP10NL.	2000.0	TOP10vector	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	523.0	11/24/08	boomkwekerij	historic 1992	14050.0	NULL	NULL	725.937561	6771.496254
106097784	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	526.0	08/31/14	overig	historic 1992	14160.0	NULL	NULL	142.905213	1166.640454
106095042	NULL	01/01/11	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	523.0	08/31/12	boomkwekerij	historic 1992	14050.0	NULL	NULL	1323.578978	8165.291337
118608731	NULL	01/01/11	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	07/02/10	11/30/99	523.0	08/31/12	boomkwekerij	historic 1992	14050.0	NULL	NULL	577.655923	3661.038
124736518	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	08/31/12	11/30/99	523.0	08/31/14	boomkwekerij	historic 1992	14050.0	NULL	NULL	156.898928	1408.759549
106100604	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	523.0	08/31/14	boomkwekerij	historic 1992	14050.0	NULL	NULL	109.57096	732.203901
118608782	NULL	01/01/11	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	07/02/10	11/30/99	526.0	08/31/12	overig	historic 1992	14160.0	NULL	NULL	255.635947	2569.464277
118608628	NULL	01/01/08	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	400.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	07/02/10	11/30/99	523.0	08/31/12	boomkwekerij	historic 1992	14050.0	NULL	NULL	445.674103	2592.196416
127811707	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	08/31/14	11/30/99	526.0	08/31/14	overig	historic 1992	14160.0	abandoned crisis	NULL	175.29745	1188.540182
118608998	NULL	01/01/08	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	400.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	07/02/10	11/30/99	523.0	07/02/10	boomkwekerij	historic 1992	14050.0	NULL	NULL	406.318202	2819.579638
118608714	NULL	01/01/08	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	400.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	07/02/10	11/30/99	526.0	07/02/10	overig	historic 1992	14160.0	NULL	NULL	195.673837	1843.843373
106097402	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	526.0	08/31/14	overig	historic 1992	14160.0	NULL	NULL	858.159241	29346.726576
106095192	NULL	01/01/11	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	523.0	08/31/12	boomkwekerij	historic 1992	14050.0	NULL	NULL	1289.78733	9488.850366
118609073	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	07/02/10	11/30/99	526.0	08/31/14	overig	historic 1992	14160.0	abandoned crisis	NULL	266.252269	2744.343205
118608470	NULL	01/01/08	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	400.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	07/02/10	11/30/99	523.0	07/02/10	boomkwekerij	historic 1992	14050.0	NULL	NULL	593.044762	4862.557463
128776468	NULL	01/01/14	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	08/30/15	11/30/99	523.0	08/30/15	boomkwekerij	historic 1992	14050.0	NULL	NULL	1607.636223	10561.686934
128776500	NULL	01/01/14	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	08/30/15	11/30/99	521.0	08/30/15	grasland	historic 1992	14130.0	NULL	NULL	1187.291054	7670.034356
118607717	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	07/02/10	11/30/99	526.0	08/31/14	overig	historic 1992	14160.0	NULL	NULL	758.506038	9575.518053
106097378	NULL	01/01/11	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	526.0	08/31/12	overig	historic 1992	14160.0	NULL	NULL	325.475029	4803.426775
106103231	NULL	01/01/11	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	526.0	08/31/12	overig	historic 1992	14160.0	NULL	NULL	174.323241	1640.586586
127811083	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	08/31/14	11/30/99	526.0	08/31/14	overig	historic 1992	14160.0	NULL	NULL	1424.158547	16979.319723
124736920	NULL	01/01/14	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	op vast deel van brug	op vast deel van brug	0.0	NULL	NULL	08/31/12	11/30/99	526.0	11/01/15	overig	historic 1992	14161.0	NULL	NULL	25.402359	34.582225
124736352	NULL	01/01/14	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	op vast deel van brug	op vast deel van brug	0.0	NULL	NULL	08/31/12	11/30/99	526.0	11/01/15	overig	historic 1992	14161.0	NULL	NULL	22.575138	30.901826
127811641	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	08/31/14	11/30/99	523.0	08/31/14	boomkwekerij	historic 1992	14050.0	NULL	NULL	485.369613	5325.226805
127811607	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	08/31/14	11/30/99	523.0	08/31/14	boomkwekerij	historic 1992	14050.0	NULL	NULL	461.621815	2958.286484
127811637	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	08/31/14	11/30/99	523.0	08/31/14	boomkwekerij	historic 1992	14050.0	NULL	NULL	215.003481	2049.880517
124736659	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	08/31/12	11/30/99	521.0	08/31/14	grasland	historic 1992	14130.0	NULL	NULL	722.626286	5697.382837
106093526	NULL	01/01/11	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	526.0	08/31/14	overig	historic 1992	14160.0	NULL	NULL	476.816512	8993.895784
106099293	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	523.0	08/31/14	boomkwekerij	historic 1992	14050.0	NULL	NULL	692.786781	8033.389884
124736287	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	08/31/12	11/30/99	523.0	08/31/14	boomkwekerij	historic 1992	14050.0	NULL	NULL	330.013131	4013.728974
106095542	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	502.0	08/31/14	bos: loofbos	historic 1992	14080.0	NULL	NULL	200.058967	544.9391
106097860	NULL	01/01/03	Digitaal bestand met gecodeerde vectoren. Deze geven tezamen de topografie van Nederland weer op de schaal 1:10.000. Voorloper van TOP10NL.	2000.0	TOP10vector	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	526.0	08/31/14	overig	historic 1992	14160.0	NULL	NULL	118.372251	887.09937
127811659	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	08/31/14	11/30/99	523.0	08/31/14	boomkwekerij	historic 1992	14050.0	NULL	NULL	317.399534	1545.449336
106101008	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	523.0	08/31/14	boomkwekerij	historic 1992	14050.0	NULL	NULL	614.285339	3960.852199
117977169	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	526.0	08/31/14	overig	historic 1992	14160.0	NULL	NULL	979.455795	21827.804979
106099358	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	523.0	08/31/14	boomkwekerij	historic 1992	14050.0	NULL	NULL	375.446712	2390.420358
124736582	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	08/31/12	11/30/99	502.0	08/31/14	bos: loofbos	historic 1992	14080.0	NULL	NULL	65.357824	190.690069
127811660	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	08/31/14	11/30/99	523.0	08/31/14	boomkwekerij	historic 1992	14050.0	NULL	NULL	160.423458	1461.461736
127811639	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	08/31/14	11/30/99	523.0	08/31/14	boomkwekerij	historic 1992	14050.0	NULL	NULL	231.94158	2198.064226
106100966	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	526.0	08/31/14	overig	historic 1992	14160.0	NULL	NULL	237.911652	2789.729818
106102154	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	11/24/08	11/30/99	523.0	08/31/14	boomkwekerij	historic 1992	14050.0	NULL	NULL	460.13309	6908.363082
127811658	NULL	01/01/13	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	08/31/14	11/30/99	523.0	08/31/14	boomkwekerij	historic 1992	14050.0	NULL	NULL	241.002796	1453.901994
124736737	NULL	01/01/11	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	08/31/12	11/30/99	521.0	08/31/12	grasland	historic 1992	14130.0	NULL	NULL	39.669865	93.806126
124736501	NULL	01/01/11	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	08/31/12	11/30/99	523.0	08/31/12	boomkwekerij	historic 1992	14050.0	NULL	NULL	193.612451	566.721711
124736427	NULL	01/01/11	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	08/31/12	11/30/99	502.0	08/31/12	bos: loofbos	historic 1992	14080.0	NULL	NULL	70.654785	178.284163
124736818	NULL	01/01/11	Een orthogerectificeerde fotografische opname van een deel van het aardoppervlak. Gemaakt vanuit een vliegtuig.	100.0	luchtfoto	NULL	11/30/99	NULL	NULL	0.0	NULL	NULL	08/31/12	11/30/99	502.0	08/31/12	bos: loofbos	historic 1992	14080.0	NULL	NULL	58.933183	158.946855
